"ID";"Month";"Year";"Age";"Gender";"HHIncome";"HHSize";"RelationshipL";"DM";"TV_Adv";"Facebook_Adv";"Publicity";"Web_Visits";"Facebook_Page_Views";"churnD"
13516;9;2017;38;"Male";26272;2;68;0;0;50764.7553250582;27;4047;379;0
13516;10;2017;38;"Male";26272;2;69;0;0;46179.8882039977;35;9176;337;0
13516;11;2017;38;"Male";26272;2;70;0;0;41439.7639370569;47;13060;293;0
13516;12;2017;38;"Male";26272;2;71;0;17180;13117.7915947986;26;9352;360;0
13583;1;2012;67;"Female";34074;3;0;0;0;42143.8078486965;23;9336;368;0
13583;2;2012;67;"Female";34074;3;1;0;0;28065.7554776411;22;8716;381;1
16204;12;2012;38;"Male";26432;2;0;0;21567.49;29841.4574185985;35;4340;333;0
16204;1;2013;39;"Male";26432;2;1;0;227.99;32299.6803871535;36;6837;320;1
16589;1;2012;33;"Male";26607;1;0;0;0;42143.8078486965;23;9336;368;0
16589;2;2012;33;"Male";26607;1;1;0;0;28065.7554776411;22;8716;381;1
16659;1;2012;39;"Male";19108;2;0;0;0;42143.8078486965;23;9336;368;0
16659;2;2012;39;"Male";19108;2;1;0;0;28065.7554776411;22;8716;381;0
16659;3;2012;39;"Male";19108;2;2;0;0;5089.66476175808;37;9765;339;1
16669;1;2012;37;"Male";24977;3;0;0;0;42143.8078486965;23;9336;368;0
16669;2;2012;37;"Male";24977;3;1;0;0;28065.7554776411;22;8716;381;0
16669;3;2012;37;"Male";24977;3;2;0;0;5089.66476175808;37;9765;339;0
16669;4;2012;37;"Male";24977;3;3;1;0;15368.256729146;41;7323;364;0
16669;5;2012;37;"Male";24977;3;4;0;0;1071.69364882015;31;3664;324;0
16669;6;2012;37;"Male";24977;3;5;1;0;64722.2626677355;33;6346;360;0
16669;7;2012;37;"Male";24977;3;6;1;0;15975.365383563;23;9113;362;0
16669;8;2012;37;"Male";24977;3;7;1;0;30797.7586980616;52;7784;273;0
16669;9;2012;37;"Male";24977;3;8;0;0;17986.6546148108;46;9607;370;0
16669;10;2012;37;"Male";24977;3;9;1;10500;3902.54193570821;59;8346;418;0
16669;11;2012;37;"Male";24977;3;10;1;7320;42437.215213263;41;9064;357;0
16669;12;2012;37;"Male";24977;3;11;1;21567.49;29841.4574185985;35;4340;333;0
16669;1;2013;38;"Male";24977;3;12;0;227.99;32299.6803871535;36;6837;320;0
16669;2;2013;38;"Male";24977;3;13;0;0;29589.8443095443;28;6857;446;0
16669;3;2013;38;"Male";24977;3;14;1;0;40616.310095759;44;9088;363;0
